doc_number,date,publication_type,patent_length,title,abstract,description,claims
D0758041,20160607,S1,15,Pet treat,,,"['The ornamental design for a pet treat, as shown and described.']"
D0758042,20160607,S1,14,Chocolate bar,,,"['The ornamental design for a chocolate bar, as shown and described.']"
D0758043,20160607,S1,14,Shred,,,"['The ornamental design for a shred, as shown and described.']"
D0758044,20160607,S1,14,Headscarf with printed smooth hair,,,"['The ornamental design for a headscarf with printed smooth hair, as shown and described.']"
D0758045,20160607,S1,14,Garment,,,"['I claim the ornamental design for a garment, as shown and described.']"
D0758046,20160607,S1,14,Animal costume suit,,,"['The ornamental design for an animal costume suit, as shown and described.']"
D0758047,20160607,S1,14,Hooded garment,,,"['The ornamental design for a hooded garment, as shown and described.']"
D0758048,20160607,S1,14,Garment,,,"['The ornamental design for a garment, as shown and described.']"
D0758049,20160607,S1,14,Clothing article,,,"['The ornamental design for a clothing article, as shown and described.']"
D0758050,20160607,S1,14,Skirt,,,"['The ornamental design for a skirt, as shown and described.']"
D0758051,20160607,S1,14,Silicone bib,,,"['The ornamental design for a silicone bib, as shown and described.']"
D0758052,20160607,S1,14,"Single-sole shoe with green stripe, green sole, midsole, and contrasting upper",,,"['The ornamental design for a single-sole shoe with green stripe, green sole, midsole, and contrasting upper, as shown and described.']"
D0758053,20160607,S1,14,Single sole shoe with blue sole,,,"['The ornamental design for a single-sole shoe with blue sole, as shown and described.']"
D0758054,20160607,S1,14,Shoe,,,"['I claim the ornamental design for a shoe, as shown and described.']"
D0758055,20160607,S1,14,Shoe,,,"['I claim the ornamental design for a shoe, as shown and described.']"
D0758056,20160607,S1,14,Shoe,,,"['The ornamental design for a shoe, as shown and described.']"
D0758057,20160607,S1,14,Midsole with illumination locations,,,"['The ornamental design for a midsole with illumination locations, as shown and described.']"
D0758058,20160607,S1,15,Heel cup,,,"['The ornamental design for a heel cup, as shown and described.']"
D0758059,20160607,S1,14,Golf shoe upper,,,"['The ornamental design for a golf shoe upper, as shown and described.']"
D0758060,20160607,S1,14,Shoe upper,,,"['The ornamental design for a shoe upper, as shown and described.']"
D0758061,20160607,S1,14,Lace tightening device,,,"['The ornamental design for a lace tightening device, as shown and described.']"
D0758062,20160607,S1,14,Umbrella with solar panels,,,"['The ornamental design for an umbrella with solar panels, as shown and described.']"
D0758063,20160607,S1,14,Crochet hook,,,"['An ornamental design for a crochet hook, as shown and described.']"
D0758064,20160607,S1,14,Protective case,,,"['The ornamental design for a protective case, as shown and described.']"
D0758065,20160607,S1,14,Protective case,,,"['The ornamental design for a protective case, as shown and described.']"
D0758066,20160607,S1,14,Medicine holder and organizer,,,"['The ornamental design for the a medicine holder and organizer, as shown and described.']"
D0758067,20160607,S1,14,Key clip,,,"['I claim, the ornamental design for a key clip, as shown and described.']"
D0758068,20160607,S1,14,Carrying bag,,,"['The ornamental design for a carrying bag, as shown and described.']"
D0758069,20160607,S1,14,Handbag,,,"['I claim the ornamental design for a handbag, as shown and described.']"
D0758070,20160607,S1,14,Handbag,,,"['The ornamental design for a handbag, as shown and described.']"
D0758071,20160607,S1,14,Handbag,,,"['The ornamental design for a handbag, as shown and described.']"
D0758072,20160607,S1,14,Surfboard carrier,,,"['The ornamental design for a surfboard carrier, as shown.']"
D0758073,20160607,S1,14,Baseball cart,,,"['The ornamental design for a baseball cart, as shown and described herein.']"
D0758074,20160607,S1,15,Eyeglass holder,,,"['I claim the ornamental design for an eyeglass holder, as shown and described.']"
D0758075,20160607,S1,14,Equipment bag,,,"['The ornamental design for an equipment bag, as shown.']"
D0758076,20160607,S1,14,Combined case and frame,,,"['The ornamental design for a combined case and frame, as shown and described.']"
D0758077,20160607,S1,14,Tool pouch skid guard,,,"['The ornamental design for a tool pouch skid guard, as shown and described.']"
D0758078,20160607,S1,14,Hub for balanced strap system,,,"['The ornamental design for a hub for balanced strap system, as shown and described.']"
D0758079,20160607,S1,14,Electric toothbrush,,,"['The ornamental design for an electric toothbrush, as shown and described.']"
D0758080,20160607,S1,14,Electric toothbrush,,,"['The ornamental design for an electric toothbrush, as shown and described.']"
D0758081,20160607,S1,14,Toothbrush head,,,"['The ornamental design for a toothbrush head, as shown and described.']"
D0758082,20160607,S1,15,Ergonomic paint roller frame,,,"['The ornamental design for an ergonomic paint roller frame, as shown and described.']"
D0758083,20160607,S1,14,Absorbent pad with pattern,,,"['The ornamental design for an absorbent pad with pattern, as shown and described.']"
D0758084,20160607,S1,14,Component for garment hanger,,,"['The ornamental design for a component for garment hanger, as shown and described.']"
D0758085,20160607,S1,14,Chair for tricycle,,,"['The ornamental design for a chair for tricycle, as shown and described.']"
D0758086,20160607,S1,14,Chair,,,"['The ornamental design for a chair, as shown and described.']"
D0758087,20160607,S1,14,Armchair,,,"['The ornamental design for an armchair, as shown and described.']"
D0758088,20160607,S1,14,Chair,,,"['The ornamental design for a chair, as shown and described.']"
D0758089,20160607,S1,14,Sofa,,,"['The ornamental design for a sofa, as shown and described.']"
D0758090,20160607,S1,14,Adjustable electric bed,,,"['The ornamental design for an adjustable electric bed, as shown and described.']"
D0758091,20160607,S1,14,Dispenser,,,"['The ornamental design for a dispenser, as shown and described.']"
D0758092,20160607,S1,14,Round spinning closet organizer,,,"['The ornamental design for a round spinning closet organizer, as shown and described.']"
D0758093,20160607,S1,14,Paper roll holder,,,"['The ornamental design for a paper roll holder, as shown and described.']"
D0758094,20160607,S1,15,Detachable shelf for mounting onto televisions and other accessories,,,"['We claim the ornamental design for a detachable shelf for mounting onto televisions and other accessories, as shown and described.']"
D0758095,20160607,S1,14,Ribbed post for a roller shade clutch,,,"['The ornamental design for a ribbed post for a roller shade clutch, as shown and described.']"
D0758096,20160607,S1,14,Opaque mat with ribbed pattern,,,"['The ornamental design for an opaque mat with ribbed pattern, as shown and described.']"
D0758097,20160607,S1,14,Opaque mat with diamond pattern,,,"['The ornamental design for an opaque mat with diamond pattern, as shown and described.']"
D0758098,20160607,S1,14,Lumbar pillow,,,"['The ornamental design for a lumbar pillow, as shown and described.']"
D0758099,20160607,S1,14,Lumbar pillow,,,"['The ornamental design for a lumbar pillow, as shown and described.']"
D0758100,20160607,S1,14,Cervical pillow,,,"['The ornamental design for a cervical pillow, as shown and described.']"
D0758101,20160607,S1,15,Cushion,,,"['The ornamental design for a cushion, as shown and described.']"
D0758102,20160607,S1,15,Cushion,,,"['The ornamental design for a cushion, as shown and described.']"
D0758103,20160607,S1,15,Cushion,,,"['The ornamental design for a cushion, as shown and described.']"
D0758104,20160607,S1,14,Happy learning case,,,"['The ornamental design for a happy learning case, as shown and described.']"
D0758105,20160607,S1,14,Fixture for presentation of electronic consumer devices,,,"['The ornamental design for a fixture for presentation of electronic consumer devices, as shown and described.']"
