doc_number,date,publication_type,patent_length,title,abstract,description,claims
D0760479,20160705,S1,15,Shirt,,,"['The ornamental design for a shirt, as shown and described.']"
D0760493,20160705,S1,14,Safe traveler pak,,,"['The ornamental design for a safe traveler pak, as shown and described.']"
D0760507,20160705,S1,14,Bicycle seat,,,"['The ornamental design for a bicycle seat, as shown and described.']"
D0760521,20160705,S1,15,Base for a table,,,"['The ornamental design for base for a table, as shown and described.']"
D0760535,20160705,S1,14,Blender,,,"['The ornamental design for a blender, as shown and described.']"
D0760549,20160705,S1,14,Base cover for a container,,,"['The ornamental design for a base cover for a container, as shown and described herein.']"
D0760563,20160705,S1,14,Round point blade,,,"['The ornamental design for a round point blade, as shown and described.']"
D0760577,20160705,S1,14,Mounting bracket,,,"['I claim, the ornamental design for a mounting bracket, as shown and described.']"
D0760591,20160705,S1,14,Jar,,,"['The ornamental design for a jar, as shown and described.']"
D0760605,20160705,S1,14,Watch,,,"['I claim the ornamental design for a watch, as shown and described.']"
D0760619,20160705,S1,14,Article of jewelry,,,"['I claim the ornamental design for an article of jewelry, as shown and described.']"
D0760633,20160705,S1,14,Roof assembly,,,"['The ornamental design for a roof assembly, as shown and described.']"
D0760647,20160705,S1,14,Power bank,,,"['The ornamental design for a power bank, as shown and described.']"
D0760661,20160705,S1,15,Busbar,,,"['The ornamental design for a busbar, as shown and described.']"
D0760675,20160705,S1,15,Video teleconferencing device,,,"['The ornamental design for a video teleconferencing device, as shown and described.']"
D0760689,20160705,S1,15,Headset,,,"['We claim the ornamental design for a headset, as shown and described.']"
D0760703,20160705,S1,14,Sound reproduction equipment,,,"['The ornamental design for sound reproduction equipment, as shown and described.']"
D0760717,20160705,S1,15,Watch body,,,"['The ornamental design for a watch body, as shown and described.']"
D0760731,20160705,S1,14,Display screen with graphical user interface showing an armored vehicle,,,"['The ornamental design for a display screen with graphical user interface showing an armored vehicle, as shown and described.']"
D0760745,20160705,S1,14,Display screen with transitional graphical user interface,,,"['The ornamental design for a display screen with transitional graphical user interface, as shown and described.']"
